Epoch	Train_Loss	Valid_Loss	Train_Error	Valid_Error
1	0.7078952	0.3460473	0.9824924	0.7425891
2	0.1456654	0.2730455	0.4711347	0.6628570
3	0.0707299	0.2739263	0.3249466	0.6702079
4	0.0450518	0.1053897	0.2627395	0.4149374
5	0.0338856	0.0868472	0.2267836	0.3557163
6	0.0314483	0.0965513	0.2186637	0.3838314
7	0.0310428	0.0590792	0.2165561	0.2863873
8	0.0211953	0.0306712	0.1795658	0.2017476
9	0.0214503	0.0399892	0.1809941	0.2383347
10	0.0196816	0.0307662	0.1715798	0.1982144
11	0.0197301	0.0281247	0.1730577	0.1893999
12	0.0157583	0.0362730	0.1538571	0.1835644
13	0.0183093	0.0263855	0.1650748	0.1722195
14	0.0183688	0.0240796	0.1642149	0.1696720
15	0.0142003	0.0432634	0.1453871	0.1987365
16	0.0131437	0.0258979	0.1381082	0.1729585
17	0.0107028	0.0251695	0.1242952	0.1714536
18	0.0125087	0.0429749	0.1340890	0.1870632
19	0.0145667	0.0250863	0.1488980	0.1725614
20	0.0095262	0.0204109	0.1189621	0.1496993
