Epoch	Train_Loss	Valid_Loss	Train_Error	Valid_Error	Epoch_Time_Seconds
1	0.5219517	0.7816683	0.8112282	1.1863931	108.67
2	0.1256313	0.1072490	0.4420379	0.3794775	106.56
3	0.0728751	0.1100449	0.3365441	0.4190833	102.70
4	0.0560498	0.1586763	0.2927973	0.4972530	109.52
5	0.0370200	0.0978016	0.2380073	0.3920475	109.28
6	0.0310597	0.0412989	0.2179382	0.2212975	104.05
7	0.0276030	0.0333287	0.1998018	0.2192827	114.73
8	0.0241423	0.0376828	0.1911845	0.2126811	108.01
9	0.0259714	0.0415910	0.1959444	0.2376759	105.95
10	0.0251151	0.0277143	0.1925548	0.1950976	102.76
11	0.0227466	0.0381170	0.1840044	0.2127804	111.47
12	0.0221325	0.0260833	0.1810340	0.1808274	101.02
13	0.0152938	0.0276304	0.1493445	0.1974121	102.44
14	0.0201436	0.0290369	0.1668329	0.2032857	96.48
15	0.0280966	0.0235816	0.2030495	0.1720847	93.50
16	0.0277204	0.0323538	0.2106064	0.2045077	95.07
17	0.0180063	0.0335374	0.1648131	0.1914546	93.21
18	0.0168579	0.0317512	0.1640827	0.1800330	94.45
19	0.0164762	0.0273422	0.1589600	0.1833824	96.55
20	0.0130913	0.0306817	0.1416828	0.2108473	102.95
